wmu  area    dmp_target  dmp_per_sq_mile  success_avg  res_1   res_2   nres_1  nres_2
1C   903.3   max         NA               12.8        HIGH    HIGH    HIGH    HIGH
3A   694.3   0           0.0              NA           NONE    NONE    NONE    NONE
3C   316.1   2000       6.3              13.9        MED     NONE    NONE    NONE
3F   331.7   6000       18.1             10.1        HIGH    MED     HIGH    NONE
3G   457.1   2300       5.0              12.3        LOW     NONE    NONE    NONE
3H   554.1   1500       2.7              23.6        PP_REQ  NONE    NONE    NONE
3J   355.6   5200       14.6             13.3        HIGH    PP_REQ  HIGH    NONE
3K   381     550         1.4              16.2        PP_REQ  NONE    NONE    NONE
3M   749.2   35900      47.9             10.9        HIGH    HIGH    HIGH    HIGH
3N   222.8   2800       12.6             8.7         HIGH    PP_REQ  HIGH    NONE
3P   125.1   700         5.6              6.5         LOW     NONE    NONE    NONE
3R   206.1   2300       11.2             7.2         HIGH    HIGH    HIGH    HIGH
3S   430.8   max         NA               9.8         HIGH    HIGH    HIGH    HIGH
4A   430.1   2700       6.3              24.6        MED     NONE    NONE    NONE
4B   161.5   2900       18.0             11.7        HIGH    MED     HIGH    NONE
4C   164.8   1400       8.5              23.2        MED     NONE    NONE    NONE
4F   1161   15700      13.5             21.4        HIGH    PP_REQ  HIGH    NONE
4G   370.5   2100       5.7              22.6        PP_REQ  NONE    NONE    NONE
4H   289.8   1300       4.5              23.9        PP_REQ  NONE    NONE    NONE
4J   148.9   max         NA               9.3         HIGH    HIGH    HIGH    HIGH
4K   255.9   1500       5.9              20.5        MED     NONE    NONE    NONE
4L   220.8   200         0.9              NA           PP_REQ  NONE    NONE    NONE
4O   760.5   1800       2.4              31.9        PP_REQ  NONE    NONE    NONE
4P   361.4   1400       3.9              24.5        PP_REQ  NONE    NONE    NONE
4R   290.2   1300       4.5              19.1        PP_REQ  NONE    NONE    NONE
4S   220     800         3.6              26.5        PP_REQ  NONE    NONE    NONE
4T   131.8   4500       34.1             11.6        HIGH    MED     HIGH    NONE
4U   127     225         1.8              22.9        PP_REQ  NONE    NONE    NONE
4W   443.2   900         2.0              22.4        PP_REQ  NONE    NONE    NONE
4Y   176.5   2900       16.4             14.2        HIGH    PP_REQ  HIGH    NONE
4Z   250.7   800         3.2              23.0        MED     NONE    NONE    NONE
5A   609.8   NA          NA               NA           NA      NA      NA      NA
5C   1125.7  NA          NA               NA           NA      NA      NA      NA
5F   1328.3  NA          NA               NA           NA      NA      NA      NA
5G   1112.6  NA          NA               NA           NA      NA      NA      NA
5H   3046.5  NA          NA               NA           NA      NA      NA      NA
5J   674.3   NA          NA               NA           NA      NA      NA      NA
5R   373     10600      28.4             10.1        HIGH    MED     HIGH    NONE
5S   421.9   1700       4.0              26.4        PP_REQ  NONE    NONE    NONE
5T   223.4   0           0.0              NA           NONE    NONE    NONE    NONE
6A   1471.7  0           0.0              NA           NONE    NONE    NONE    NONE
6C   976.7   1100       1.1              21.1        LO/DV   NONE    NONE    NONE
6F   1213    NA          NA               NA           NA      NA      NA      NA
6G   933.2   16200      17.4             17.0        HIGH    MED     HIGH    NONE
6H   172.6   700         4.1              12.6        MED     NONE    NONE    NONE
6J   1576.3  NA          NA               NA           NA      NA      NA      NA
6K   1161.2  5500       4.7              22.3        LOW     NONE    NONE    NONE
6N   491.4   NA          NA               NA           NA      NA      NA      NA
6P   203     5800       28.6             9.2         HIGH    HIGH    HIGH    NONE
6R   541.8   6600       12.2             15.1        HIGH    LOW     HIGH    NONE
6S   589.1   6600       11.2             20.0        HIGH    LOW     HIGH    NONE
7A   544.9   7200       13.2             16.2        HIGH    HIGH    HIGH    NONE
7F   687.2   25800      37.5             8.5         HIGH    HIGH    HIGH    HIGH
7H   357.2   9300       26.0             10.0        HIGH    HIGH    HIGH    HIGH
7J   838.9   31300      37.3             11.0        HIGH    HIGH    HIGH    HIGH
7M   1242.3  19800      15.9             16.6        HIGH    LOW     HIGH    NONE
7P   484.8   2700       5.6              18.0        LOW     NONE    NONE    NONE
7R   739.3   26700      36.1             9.8         HIGH    HIGH    HIGH    NONE
7S   662.7   11300      17.1             13.2        HIGH    LOW     HIGH    NONE
8A   419     17000      40.6             11.9        HIGH    HIGH    HIGH    HIGH
8C   138.1   max         NA               20.1        HIGH    HIGH    HIGH    HIGH
8F   733     33500      45.7             13.7        HIGH    HIGH    HIGH    HIGH
8G   686.2   38500      56.1             13.0        HIGH    HIGH    HIGH    HIGH
8H   574     27200      47.4             17.9        HIGH    HIGH    HIGH    HIGH
8J   711.9   17900      25.1             13.6        HIGH    HIGH    HIGH    HIGH
8M   307.4   7700       25.0             19.6        HIGH    HIGH    HIGH    NONE
8N   314.3   30300      96.4             10.7        HIGH    HIGH    HIGH    HIGH
8P   356.2   2400       6.7              16.5        PP_REQ  NONE    NONE    NONE
8R   270     18100      67.0             15.2        HIGH    HIGH    HIGH    HIGH
8S   256.2   3700       14.4             17.2        HIGH    MED     HIGH    NONE
8T   385.2   1400       3.6              26.2        PP_REQ  NONE    NONE    NONE
8W   439.5   2300       5.2              16.3        PP_REQ  NONE    NONE    NONE
8X   400.5   8400       21.0             16.4        HIGH    PP_REQ  HIGH    NONE
8Y   354.2   5500       15.5             15.4        HIGH    PP_REQ  HIGH    NONE
9A   461.6   26000      56.3             6.8         HIGH    HIGH    HIGH    HIGH
9F   277     15900      57.4             8.2         HIGH    HIGH    HIGH    HIGH
9G   229.9   8100       35.2             10.7        HIGH    HIGH    HIGH    HIGH
9H   973.1   28100      28.9             16.0        HIGH    HIGH    HIGH    NONE
9J   693.6   17000      24.5             17.0        HIGH    MED     HIGH    NONE
9K   446.4   5200       11.6             22.0        HIGH    NONE    NONE    NONE
9M   329.7   7200       21.8             15.5        HIGH    NONE    HIGH    NONE
9N   207.1   5400       26.1             14.5        HIGH    PP_REQ  HIGH    NONE
9P   581.5   1800       3.1              26.5        PP_REQ  NONE    NONE    NONE
9R   217.6   200         0.9              15.7        LO/DV   NONE    NONE    NONE
9S   91.5    225         2.5              11.1        PP_REQ  NONE    NONE    NONE
9T   248.4   300         1.2              18.1        LO/DV   NONE    NONE    NONE
9W   250.1   2600       10.4             16.4        LOW     NONE    NONE    NONE
9X   219.1   300         1.4              25.5        LO/DV   NONE    NONE    NONE
9Y   124.8   2500       20.0             13.7        HIGH    NONE    NONE    NONE
