wmu  bucks_taken  buck_sq_mile  total_deer  total_sq_mile
1C   1321         1.5           3207        3.6
3A   652          0.9           774         1.1
3C   692          2.2           1020        3.2
3F   755          2.3           1424        4.3
3G   706          1.5           1178        2.6
3H   1548         2.8           2343        4.2
3J   907          2.6           1768        5.0
3K   783          2.1           936         2.5
3M   2880         3.8           6781        9.1
3N   422          1.9           741         3.3
3P   180          1.4           275         2.2
3R   198          1.0           352         1.7
3S   562          1.3           1259        2.9
4A   1281         3.0           1986        4.6
4B   318          2.0           596         3.7
4C   725          4.4           1331        8.1
4F   4112         3.5           7790        6.7
4G   863          2.3           1502        4.1
4H   985          3.4           1495        5.2
4J   223          1.5           495         3.3
4K   608          2.4           1096        4.3
4L   439          2.0           543         2.5
4O   1677         2.2           2528        3.3
4P   720          2.0           1331        3.7
4R   546          1.9           837         2.9
4S   580          2.6           856         3.9
4T   382          2.9           886         6.7
4U   384          3.0           482         3.8
4W   785          1.8           1126        2.5
4Y   520          2.9           1017        5.8
4Z   664          2.6           1051        4.2
5A   510          0.8           721         1.2
5C   480          0.4           583         0.5
5F   575          0.4           689         0.5
5G   1024         0.9           1445        1.3
5H   1921         0.6           2312        0.8
5J   1072         1.6           1457        2.2
5R   698          1.9           1614        4.3
5S   1286         3.0           2488        5.9
5T   432          1.9           541         2.4
6A   1953         1.3           2486        1.7
6C   1605         1.6           2488        2.5
6F   608          0.5           697         0.6
6G   2519         2.7           5487        5.9
6H   205          1.2           360         2.1
6J   901          0.6           1007        0.6
6K   2358         2.0           3960        3.4
6N   764          1.6           982         2.0
6P   469          2.3           957         4.7
6R   1151         2.1           2352        4.3
6S   1762         3.0           3237        5.5
7A   1553         2.9           3077        5.6
7F   1552         2.3           3970        5.8
7H   802          2.2           2169        6.1
7J   2385         2.8           6164        7.3
7M   3953         3.2           7919        6.4
7P   1120         2.3           1930        4.0
7R   2025         2.7           5023        6.8
7S   1948         2.9           3692        5.6
8A   1237         3.0           3082        7.4
8C   190          1.4           336         2.4
8F   2420         3.3           6480        8.8
8G   2899         4.2           7649        11.1
8H   2649         4.6           7312        12.7
8J   1870         2.6           5137        7.2
8M   1583         5.1           3500        11.4
8N   1820         5.8           5084        16.2
8P   1189         3.3           2017        5.7
8R   1576         5.8           4254        15.8
8S   883          3.4           1649        6.4
8T   1389         3.6           2428        6.3
8W   1200         2.7           1968        4.5
8X   1545         3.9           3564        8.9
8Y   1283         3.6           2271        6.4
9A   1016         2.2           2326        5.0
9F   831          3.0           1889        6.8
9G   606          2.6           1476        6.4
9H   4073         4.2           9769        10.0
9J   2510         3.6           5373        7.7
9K   1631         3.7           3162        7.1
9M   1466         4.4           3063        9.3
9N   790          3.8           1768        8.5
9P   2257         3.9           3613        6.2
9R   452          2.1           635         2.9
9S   115          1.3           162         1.8
9T   500          2.0           765         3.1
9W   854          3.4           1494        6.0
9X   634          2.9           1009        4.6
9Y   489          3.9           1013        8.1
